probe ID,primary,secondary,dG_md,ddG_md,Kd_md,Kd_SDS/Kd_PFOS
00025,"[""CCl"", ""CCl"", ""CCl"", ""CCl"", ""CCl"", ""CCl"", ""CCl"", ""CCl""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-37.568234547902115, 0.7087726877659875]","[-6.122077695609672, 1.505691295825464]","[2.8742702089218093e-07, 8.169977557887595e-08]","[11.64647058874457, 7.0317999688595325]"
00026,"[""CF"", ""CF"", ""CF"", ""CF"", ""CF"", ""CF"", ""CF"", ""CF""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-31.292253030400957, 0.7165206585302781]","[-4.760356127574873, 1.1406913988723428]","[3.559805921828402e-06, 1.0231821638534674e-06]","[6.744775176023788, 3.085465341362968]"
00027,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-59.017395491738306, 0.5072164100327528]","[-11.731573019003498, 1.8055223975029115]","[5.2992965058984564e-11, 1.077772374007591e-11]","[110.33198559558666, 79.85337503584152]"
00028,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-37.884304249774274, 0.46370835623277745]","[-2.2412441297726886, 1.259742530490864]","[2.5329903180063783e-07, 4.7062372728300336e-08]","[2.457062416329957, 1.2409211020706334]"
00029,"[""COC"", ""COC"", ""COC"", ""[OH]"", ""[OH]"", ""COC"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-50.25206017916794, 0.821866479955354]","[-22.514119427541747, 1.3830439979339146]","[1.7800653598690325e-09, 5.863879014707849e-10]","[8316.239414829693, 4608.931357682967]"
00031,"[""COC"", ""COC"", ""COC"", ""COC"", ""COC"", ""COC"", ""COC"", ""COC""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-37.04840328827592, 0.7832895604279918]","[-7.58262598282597, 1.7612981485704295]","[3.5414797387616965e-07, 1.1131009037989543e-07]","[20.90734620307864, 14.764270753398652]"
00032,"[""[Cl]"", ""[Cl]"", ""[OH]"", ""[OH]"", ""[Cl]"", ""[Cl]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-43.40227860029405, 0.36451412608433365]","[-7.773898300218747, 0.9579076201919359]","[2.7719310411629826e-08, 4.058857111373979e-09]","[22.58192298059018, 8.673594043301856]"
00033,"[""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]""]","[""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]""]","[-39.768626482317224, 0.7135576208040891]","[-10.033404459325027, 1.2042765723130735]","[1.1900651281650404e-07, 3.402839871952523e-08]","[55.85631724189425, 26.963231157988893]"
00034,"[""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-48.83777442323459, 0.24244908694925335]","[-15.155336997772842, 1.3004532628615022]","[3.137118863627006e-09, 3.058678248011225e-10]","[435.3070875420439, 227.12656835324609]"
00035,"[""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]"", ""[Cl]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-29.43141904702942, 0.6957675013957723]","[-1.3394110009971527, 0.9992309225761546]","[7.5053818319203e-06, 2.090494712816166e-06]","[1.7114885239315711, 0.6850274736354457]"
